VendorNumber,VendorName,TotalSalesDollars,TotalPurchaseDollars,TotalSalesQuantity,TotalPurchaseQuantity,TotalSalesPrice,TotalExciseTax,GrossProfit,PurchasePrice,ActualPrice,Volume,ProfitMargin,StockTurnover,SalestoPurchaseRatio,LogSales,ProfitMargin_Capped,StockTurnover_Capped
2,"IRA GOLDMAN AND WILLIAMS, LLP",1265.5800000000002,5630.88,42.0,328.0,745.7400000000001,2.5200000000000005,-4365.299999999999,20.43,30.990000000000002,456.25,-344.92485658749337,0.12804878048780488,0.22475705395959425,7.144075633652909,-258.6354389442387,0.22043010752688172
60,ADAMBA IMPORTS INTL INC,67576.22000000006,76770.25000000009,3978.0,4732.0,42177.180000000284,7261.070000000211,-9194.030000000032,12.936666666666667,16.99,1416.6666666666667,-13.605422144061954,0.8406593406593407,0.8802396761766437,11.12102622299126,-13.605422144061954,0.8406593406593407
105,ALTAMAR BRANDS LLC,15706.809999999949,11706.200000000008,319.0,332.0,13007.389999999952,251.5899999999993,4000.6099999999415,29.48,39.99,750.0,25.470544305304227,0.9608433734939759,1.3417513796107992,9.661913319877353,25.470544305304227,0.9608433734939759
200,AMERICAN SPIRITS EXCHANGE,1719.9700000000003,1205.16,103.0,132.0,463.68000000000006,11.530000000000001,514.8100000000003,8.63,12.99,750.0,29.931336011674638,0.7803030303030303,1.4271714959009594,7.450643364333865,29.931336011674638,0.7803030303030303
287,APPOLO VINEYARDS LLC,1616.9200000000005,2399.7,108.0,230.0,1472.5200000000007,11.900000000000007,-782.7799999999994,10.435,15.49,750.0,-48.41179526507181,0.46956521739130436,0.6738008917781392,7.388896652638329,-48.41179526507181,0.46956521739130436
388,ATLANTIC IMPORTING COMPANY,59272.75000000002,41116.31999999975,1825.0,1847.0,47300.20000000045,1356.149999999979,18156.43000000027,36.13333333333333,52.656666666666666,750.0,30.632002058281866,0.9880887926367081,1.441586941632918,10.989921822562788,30.632002058281866,0.9880887926367081
480,BACARDI USA INC,25005365.78999932,17624378.720000073,1457011.0,1427075.0,8897462.99999957,1364932.379999968,7380987.069999245,16.144545454545455,22.72030303030303,830.7515151515152,29.517612867519844,1.020977173589335,1.418794170691721,17.034601031393798,29.517612867519844,1.020977173589335
516,BANFI PRODUCTS CORP,2645625.220000011,1628866.6799999988,220930.0,228103.0,1347053.0700000064,32909.90000000069,1016758.540000012,10.02152671755725,15.915954198473285,903.1297709923664,38.431692150258826,0.9685536796973298,1.6242122529021301,14.788418351395896,38.431692150258826,0.9685536796973298
653,STATE WINE & SPIRITS,2293833.38000001,1529682.0400000033,157402.0,154092.0,1241056.6300000113,29422.019999999997,764151.340000007,12.501382488479264,18.69967741935484,732.3824884792626,33.31328886669195,1.0214806738831348,1.4995491350607772,14.64573537702938,33.31328886669195,1.0214806738831348
660,SAZERAC NORTH AMERICA INC.,4964318.1599998595,3537977.5500000026,493344.0,503931.0,2247980.840000016,717678.4499999732,1426340.6099998571,8.128461538461538,11.65923076923077,1139.1025641025642,28.731853278314006,0.9789911714103716,1.4031514021336444,15.417786718163226,28.731853278314006,0.9789911714103716
1003,BRONCO WINE COMPANY,2400.6600000000003,2071.9,334.0,433.0,678.01,61.31999999999999,328.7600000000002,5.296666666666667,7.823333333333333,1250.0,13.694567327318326,0.7713625866050808,1.1586756117573243,7.783915443911556,13.694567327318326,0.7713625866050808
1128,BROWN-FORMAN CORP,18476611.59999977,13529433.080000108,983740.0,1006122.0,7174369.639999557,766148.7400000117,4947178.519999663,25.818425196850395,34.930944881889765,813.0866141732283,26.775355931602334,0.9777541888558247,1.3656604449533685,16.732016306510342,26.775355931602334,0.9777541888558247
1189,BULLY BOY DISTILLERS,119484.53000000062,117928.2200000001,4447.0,5382.0,88637.1100000008,3505.9299999999785,1556.3100000005243,20.74,28.656666666666666,750.0,1.3025200835627142,0.8262727610553697,1.0131970956570067,11.69095055515587,1.3025200835627142,0.8262727610553697
1265,BLACK ROCK SPIRITS LLC,2049.1800000000003,1152.0999999999997,82.0,82.0,824.6700000000002,64.55,897.0800000000006,14.05,24.99,750.0,43.77751100440179,1.0,1.778647686832741,7.62568287315588,43.77751100440179,1.0
1273,CALEDONIA SPIRITS INC,278648.3799999995,259604.70000000193,7162.0,8202.0,191362.41000000585,5363.549999999984,19043.67999999753,31.666000000000004,41.59,600.0,6.834304940153453,0.8732016581321629,1.073356453099645,12.537709567981748,6.834304940153453,0.8732016581321629
1392,CONSTELLATION BRANDS INC,24467134.229999106,15573917.900000008,2301458.0,2325892.0,9648316.260000184,692009.2599999777,8893216.329999097,12.691619256017505,19.17621444201313,1006.6630196936543,36.347601016122034,0.9894947830767723,1.5710326962747823,17.012841355823138,36.347601016122034,0.9894947830767723
1439,CAPSTONE INTERNATIONAL,246.86999999999998,54.64,13.0,4.0,113.93999999999998,23.889999999999997,192.22999999999996,13.66,26.99,1750.0,77.86689350670393,3.25,4.51811859443631,5.5129044151791256,77.46635134740593,2.8823529411764706
1485,CASTLE BRANDS CORP.,2307511.2499999246,1679383.9099999808,103675.0,105220.0,1350960.5399999912,110409.89999999748,628127.3399999435,27.192307692307693,36.50923076923077,822.1153846153846,27.220987113279037,0.9853164797567002,1.3740224830425765,14.651680554120752,27.220987113279037,0.9853164797567002
1587,VINEYARD BRANDS INC,1842143.1000000148,1196162.8099999987,166087.0,171919.0,832889.170000001,18425.68000000008,645980.2900000162,16.006338028169015,24.41957746478873,762.3239436619718,35.066781185457906,0.9660770479120981,1.5400437838391052,14.426440722922157,35.066781185457906,0.9660770479120981
1587,VINEYARD BRANDS LLC,4323.959999999997,10951.51,104.0,371.0,3049.32,6.279999999999999,-6627.550000000003,51.9,77.65666666666668,500.0,-153.27500716935418,0.2803234501347709,0.39482774521504316,8.372158170768298,-153.27500716935418,0.2803234501347709
1590,DIAGEO CHATEAU ESTATE WINES,2182527.2600000175,1365472.830000002,190742.0,187841.0,920526.4299999933,22926.05999999998,817054.4300000154,15.404897959183675,23.87112244897959,765.3061224489796,37.43616150755473,1.0154439126708226,1.5983674021547645,14.59599451506568,37.43616150755473,1.0154439126708226
1601,VRANKEN AMERICA,341398.5100000015,208330.14999999982,13449.0,13094.0,166160.67999999828,1493.7600000000214,133068.36000000167,22.672941176470587,35.34294117647059,761.0,38.97742846036471,1.02711165419276,1.6387378879149361,12.740808654074902,38.97742846036471,1.02711165419276
1650,Circa Wines,44414.86999999999,42554.34,2443.0,3320.0,13996.109999999991,345.71000000000004,1860.5299999999856,12.75,19.183939393939394,750.0,4.188979951984518,0.7358433734939759,1.0437212749627887,10.701352116988994,4.188979951984518,0.7358433734939759
1655,FABRIZIA SPIRITS LLC,396503.9200000078,358390.61999999994,25508.0,28071.0,261989.53999999986,23205.910000000273,38113.30000000784,13.11625,17.24,828.125,9.612338763260421,0.9086958070606675,1.1063456962127185,12.890443728555105,9.612338763260421,0.9086958070606675
1703,ALISA CARR BEVERAGES,113590.17999999996,34951.68,982.0,438.0,44715.95999999996,109.67999999999995,78638.49999999996,107.93846153846154,160.83615384615385,750.0,69.23001618625834,2.2420091324200913,3.249920461620156,11.640361141409912,69.23001618625834,2.2420091324200913
2000,SOUTHERN GLAZERS W&S OF NE,40440.12000000024,40803.919999999984,3288.0,4198.0,16927.49999999977,367.0000000000062,-363.7999999997445,48.474444444444444,73.43444444444445,750.0,-0.8996016826847753,0.7832301095759886,0.9910841899503836,10.607602368102041,-0.8996016826847753,0.7832301095759886
2000,SOUTHERN WINE & SPIRITS NE,5704567.519999974,3699813.4599999967,397315.0,402677.0,2605722.640000034,50740.34999999957,2004754.0599999777,46.50211656441718,70.22282208588958,787.5644171779142,35.142963125099214,0.9866841165499892,1.5418527397865025,15.556777906516231,35.142963125099214,0.9866841165499892
2242,DELICATO VINEYARDS INC,2357402.460000037,1561444.6299999952,190356.0,192642.0,1394538.400000031,38631.14999999987,795957.8300000418,7.453111111111111,11.832222222222223,1144.4444444444443,33.764189335750046,0.9881334288472918,1.5097573200530616,14.673071342492218,33.764189335750046,0.9881334288472918
2396,BLACK PRINCE DISTILLERY INC,11697.039999999937,5971.94,1096.0,807.0,5585.619999999943,959.8800000000012,5725.099999999937,5.8475,8.49,937.5,48.94486126404601,1.3581164807930608,1.9586666979239473,9.36717658538505,48.94486126404601,1.3581164807930608
2450,DJINN SPIRITS LLC,56731.23000000005,48830.77999999997,2177.0,2637.0,42073.08999999985,1149.6599999999949,7900.450000000074,21.205,30.156666666666666,625.0,13.926103840865196,0.825559347743648,1.1617924186343138,10.946097758555615,13.926103840865196,0.825559347743648
2496,DUGGANS DISTILLED PRODUCTS,202338.62000000442,184296.49999999956,15738.0,18814.0,134017.3300000018,16671.23000000047,18042.12000000487,10.975999999999999,15.689999999999998,1010.0,8.916795024105866,0.8365047305198257,1.0978972470991304,12.217702851731056,8.916795024105866,0.8365047305198257
2555,DISARONNO INTERNATIONAL LLC,1725259.229999888,1141947.8500000082,103387.0,103095.0,801179.1199999575,68873.01000000036,583311.37999988,13.533636363636363,18.653636363636362,652.2727272727273,33.810071545011695,1.0028323391047091,1.5108038690207048,14.360888455040627,33.810071545011695,1.0028323391047091
2561,EDRINGTON AMERICAS,2523778.299999932,1882832.8400000026,58570.0,60527.0,1706359.3099999633,73151.80999999927,640945.4599999294,154.8958620689655,207.88655172413795,849.1379310344828,25.396266383618038,0.9676673220215771,1.3404154879728614,14.741268058249542,25.396266383618038,0.9676673220215771
2876,CENTEUR IMPORTS LLC,7474.810000000002,6237.08,619.0,771.0,3466.270000000002,69.04,1237.730000000002,7.890000000000001,11.690000000000001,750.0,16.558681759135037,0.8028534370946823,1.1984470296997958,8.919427753592249,16.558681759135037,0.8028534370946823
3089,SIDNEY FRANK IMPORTING CO,2256371.2499998133,1715908.8799999862,188625.0,186464.0,1079844.9099999433,104874.33000000335,540462.369999827,12.585384615384616,16.951538461538462,636.5384615384615,23.952723648640344,1.0115893684571822,1.3149714861314963,14.629268882420893,23.952723648640344,1.0115893684571822
3252,E & J GALLO WINERY,18553774.659999806,12289608.090000046,1808718.0,1858260.0,8333203.200000167,508410.2299999787,6264166.56999976,8.204453280318091,12.471113320079523,1190.337972166998,33.76222189172489,0.9733395757321365,1.5097124761119813,16.73618386592897,33.76222189172489,0.9733395757321365
3551,GILMANTON WINERY & VINEYARD,3837.6000000000017,5393.039999999998,240.0,516.0,3006.1200000000013,26.519999999999982,-1555.4399999999964,10.45,15.99,750.0,-40.5315822388992,0.46511627906976744,0.7115838191446759,8.252862995771778,-40.5315822388992,0.46511627906976744
3664,WILLIAM GRANT & SONS INC,7635228.309999702,5960744.350000004,283309.0,302685.0,4887614.029999874,261083.909999994,1674483.9599996977,106.59901234567901,139.96283950617283,818.5185185185185,21.93102670953088,0.9359862563390984,1.280918600375756,15.848283530237518,21.93102670953088,0.9359862563390984
